Date;Economic Activity, Industrial Production, Index;Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate;International Reserves and Liquidity, Reserves, Official Reserve Assets, US Dollar;Prices, Consumer Price Index, All items, Index
Jan-60;31,13;621,12;2.989,50;4,14
Feb-60;32,6;621,12;2.958,50;4,14
Mar-60;33,71;620,6;2.923,50;4,13
Apr-60;33,89;625;2.959,50;4,13
May-60;34,63;625;2.970,50;4,13
Jun-60;35,37;625;2.997,50;4,13
Jul-60;33,89;625;3.088,50;4,15
Aug-60;27,45;625;3.201,50;4,16
Sep-60;35;625;3.193,50;4,15
Oct-60;34,63;625;3.174,50;4,15
Nov-60;35,73;625;3.216,50;4,17
Dec-60;34,81;625;3.250,50;4,18
Jan-61;34,44;625;3.155,50;4,2
Feb-61;36,1;625;3.103,50;4,2
Mar-61;36,66;625;3.123,50;4,2
Apr-61;37,21;625;3.148,50;4,21
May-61;37,95;625;3.218,50;4,22
Jun-61;38,13;625;3.328,50;4,22
Jul-61;37,21;625;3.475,50;4,23
Aug-61;29,28;625;3.703,75;4,24
Sep-61;38,5;625;3.709,75;4,24
Oct-61;39,42;625;3.763,75;4,26
Nov-61;41,26;625;3.786,75;4,28
Dec-61;40,34;625;3.800,75;4,3
Jan-62;39,79;625;3.789,75;4,32
Feb-62;40,74;625;3.696,75;4,34
Mar-62;40,94;625;3.636,75;4,37
Apr-62;41,56;625;3.642,75;4,4
May-62;42,43;625;3.576,75;4,4
Jun-62;40,94;625;3.609,75;4,42
Jul-62;40,88;625;3.534,75;4,45
Aug-62;32,03;625;3.694,75;4,45
Sep-62;41,01;625;3.771,75;4,46
Oct-62;41,63;625;3.797,75;4,48
Nov-62;43,96;625;3.898,75;4,51
Dec-62;43,56;625;4.067,76;4,58
Jan-63;42,19;625;3.939,75;4,63
Feb-63;42,14;625;3.947,74;4,69
Mar-63;44,36;625;3.950,74;4,71
Apr-63;45,66;625;3.972,74;4,74
May-63;46,07;625;3.925,73;4,74
Jun-63;46,34;625;3.939,73;4,74
Jul-63;44,33;625;3.959,73;4,74
Aug-63;33,76;625;4.069,73;4,76
Sep-63;46,84;625;4.021,73;4,79
Oct-63;46,81;625;3.855,73;4,84
Nov-63;47,73;625;3.690,73;4,86
Dec-63;46,61;625;3.617,73;4,9
Jan-64;46,2;625;3.470,23;4,93
Feb-64;45,7;625;3.287,73;4,94
Mar-64;47,49;625;3.107,73;4,95
Apr-64;46,9;625;2.938,73;4,96
May-64;46,38;625;2.968,73;5
Jun-64;45,26;625;2.979,73;5,04
Jul-64;44,54;625;3.018,16;5,06
Aug-64;33,38;625;3.125,66;5,08
Sep-64;45,15;625;3.358,00;5,1
Oct-64;44,95;625;3.523,40;5,12
Nov-64;46,92;625;3.692,40;5,16
Dec-64;45,73;625;3.824,40;5,18
Jan-65;44,68;625;3.870,40;5,2
Feb-65;46,34;625;3.937,41;5,21
Mar-65;46,34;625;3.860,91;5,23
Apr-65;47,12;625;3.911,41;5,23
May-65;48,5;625;3.993,41;5,24
Jun-65;48,67;625;4.119,66;5,26
Jul-65;47,63;625;4.333,86;5,29
Aug-65;35,72;625;4.452,83;5,29
Sep-65;48,48;625;4.380,83;5,31
Oct-65;48,67;625;4.329,23;5,31
Nov-65;51,46;625;4.444,23;5,33
Dec-65;50,07;625;4.799,24;5,35
Jan-66;49,57;625;4.649,74;5,37
Feb-66;51,15;625;4.606,74;5,37
Mar-66;53,26;625;4.603,98;5,36
Apr-66;52,26;625;4.679,95;5,38
May-66;54,64;625;4.690,45;5,38
Jun-66;54,64;625;4.798,20;5,38
Jul-66;52,4;625;4.998,20;5,39
Aug-66;37,39;625;5.223,20;5,39
Sep-66;55,63;625;5.000,20;5,4
Oct-66;54,9;625;4.899,69;5,41
Nov-66;56,22;625;4.860,69;5,44
Dec-66;54,83;625;4.910,69;5,48
Jan-67;54,57;625;4.752,69;5,53
Feb-67;57,34;625;4.717,69;5,55
Mar-67;57,47;625;4.770,69;5,56
Apr-67;58,65;625;4.879,33;5,56
May-67;59,57;625;4.939,08;5,58
Jun-67;59,18;625;4.967,38;5,59
Jul-67;56,29;625;5.124,19;5,61
Aug-67;38,7;625;5.352,69;5,62
Sep-67;58,2;625;5.444,22;5,64
Oct-67;58,72;625;5.562,57;5,64
Nov-67;60,3;625;5.538,63;5,64
Dec-67;57,4;625;5.462,73;5,64
Jan-68;57,27;625;5.377,34;5,65
Feb-68;59,18;625;5.351,99;5,65
Mar-68;60,3;625;5.302,34;5,66
Apr-68;61,55;625;5.290,45;5,67
May-68;62,67;625;5.353,90;5,68
Jun-68;62,41;625;5.383,20;5,67
Jul-68;59,83;625;5.430,10;5,66
Aug-68;40,74;625;5.559,57;5,66
Sep-68;63,33;625;5.584,02;5,66
Oct-68;63,65;625;5.573,69;5,67
Nov-68;62,73;625;5.438,56;5,68
Dec-68;62,41;625;5.341,39;5,7
Jan-69;62,94;625;5.188,69;5,71
Feb-69;63;625;5.092,09;5,72
Mar-69;66,09;625;5.051,16;5,75
Apr-69;66,69;625;5.171,26;5,77
May-69;66,16;625;4.996,58;5,78
Jun-69;67,94;625;5.149,67;5,8
Jul-69;64,44;625;5.211,80;5,84
Aug-69;44,3;625;5.167,30;5,85
Sep-69;62,28;625;5.243,22;5,86
Oct-69;59,25;625;5.224,88;5,88
Nov-69;59,44;625;5.005,43;5,91
Dec-69;58,85;625;5.045,79;5,93
Jan-70;65,24;625;4.959,04;5,96
Feb-70;68,26;625;5.059,04;6,01
Mar-70;69,19;625;5.079,85;6,03
Apr-70;68,79;625;5.129,96;6,06
May-70;68,46;625;4.786,71;6,09
Jun-70;68,46;625;4.677,71;6,1
Jul-70;66,29;625;4.223,51;6,11
Aug-70;43,12;625;4.324,36;6,12
Sep-70;68,92;625;4.523,36;6,16
Oct-70;67,34;625;4.885,50;6,18
Nov-70;69,51;625;4.986,51;6,23
Dec-70;66,35;625;5.352,26;6,25
Jan-71;64,18;625;5.776,15;6,27
Feb-71;66,78;625;5.855,15;6,3
Mar-71;67,62;625;6.034,45;6,32
Apr-71;66,51;625;6.210,47;6,34
May-71;68,18;625;6.125,01;6,38
Jun-71;68,45;625;6.092,33;6,38
Jul-71;64,56;625;6.096,21;6,4
Aug-71;40,49;625;6.520,21;6,41
Sep-71;71,71;613,5;6.671,22;6,46
Oct-71;69,11;612,37;6.624,43;6,49
Nov-71;70,88;612,74;6.438,43;6,52
Dec-71;68,45;605,7;6.572,84;6,54
Jan-72;67,25;590,67;6.749,93;6,57
Feb-72;68,64;586,85;6.749,45;6,6
Mar-72;69,01;582,75;6.659,31;6,62
Apr-72;69,29;583,43;6.574,37;6,63
May-72;71,71;582,07;6.554,76;6,69
Jun-72;71,8;581,4;6.419,05;6,73
Jul-72;67,07;580,72;6.459,08;6,75
Aug-72;43,66;581,4;6.686,35;6,8
Sep-72;70,22;581,4;6.422,02;6,86
Oct-72;75,52;581,4;6.299,70;6,94
Nov-72;75,23;584,45;6.086,70;6,99
Dec-72;71,99;582,07;6.084,46;7,02
Jan-73;68,08;585,14;5.755,29;7,1
Feb-73;70,04;574,68;6.469,22;7,18
Mar-73;70,78;573,58;6.240,60;7,26
Apr-73;76,26;589;6.299,17;7,33
May-73;78,67;589,15;6.222,35;7,44
Jun-73;80,53;596,68;5.966,89;7,51
Jul-73;78,96;580,12;5.649,89;7,55
Aug-73;50,71;578,57;6.535,66;7,6
Sep-73;82,3;564,45;6.572,66;7,64
Oct-73;83,22;565,83;6.206,62;7,7
Nov-73;83,14;591,84;6.026,00;7,79
Dec-73;78,3;606,91;6.435,16;7,9
Jan-74;81;646,51;5.983,50;8,03
Feb-74;80,81;653,52;5.398,77;8,2
Mar-74;82,2;636,71;6.735,94;8,42
Apr-74;85,55;635,05;6.255,05;8,52
May-74;84,81;631,46;5.504,11;8,64
Jun-74;86,19;649,33;5.311,64;8,76
Jul-74;80,81;643,82;5.566,93;8,94
Aug-74;48,03;654,71;5.507,00;9,14
Sep-74;85,55;661,73;7.662,57;9,4
Oct-74;80,34;666,73;6.942,07;9,58
Nov-74;76,44;666,1;6.426,31;9,76
Dec-74;69,66;658,45;6.888,36;9,84
Jan-75;71,34;644,69;6.541,99;9,97
Feb-75;75,33;637,75;6.521,88;10,11
Mar-75;72,55;631;6.667,35;10,13
Apr-75;74,68;633,69;6.820,57;10,26
May-75;71,62;626,8;6.675,50;10,35
Jun-75;75,52;625,42;6.613,05;10,43
Jul-75;72,73;648,98;5.500,73;10,47
Aug-75;38,92;668,1;5.175,29;10,54
Sep-75;76,53;677,71;5.929,09;10,62
Oct-75;76,9;678,17;5.807,53;10,74
Nov-75;77,84;678,85;5.341,37;10,86
Dec-75;71,05;683,03;4.788,11;10,94
Jan-76;72,63;702,61;4.468,95;11,06
Feb-76;79,23;767,76;4.515,95;11,31
Mar-76;80,07;825,71;4.898,39;11,53
Apr-76;81,64;879,17;5.006,48;11,84
May-76;85,82;857,07;4.910,54;12,07
Jun-76;84,81;848,87;5.252,56;12,13
Jul-76;81,74;837,13;6.193,62;12,19
Aug-76;45,42;837,38;6.344,52;12,33
Sep-76;88,89;844,17;5.097,32;12,53
Oct-76;86,11;855,07;5.389,59;12,89
Nov-76;89,26;865,47;6.520,41;13,17
Dec-76;85,55;867,61;12.544,09;13,19
Jan-77;84,15;879,19;12.660,34;13,36
Feb-77;86,48;882,41;12.374,61;13,62
Mar-77;87,22;886,27;13.157,93;13,79
Apr-77;83,51;887,22;13.462,54;13,96
